# Analysis title: diff_Primary_versus_Naive_c3.0_cond1_formatted analysis from Cistrome-GO
# Mode: Ensemble mode
# Specie: mm10
# Peak bed file name: diff_Primary_versus_Naive_c3.0_cond1_formatted.bed
# Differential expression file name: primary_vs_control_naive_deseq2.csv
# Genes for gene ontology: allgenes
# Column index of (GeneID, logFoldChange, FDR): 1,3,7
# Cutoffs of logFoldChange and FDR for DE genes: 1.0, 0.05
# Top peaks to use: 10000
# Half-decay distance: 1000bp
# FDR cutoff of GO/KEGG terms to return: 0.2
# Minimum and maximum gene number in GO and KEGG gene sets: 10, 2000
# Symbol	Coordinate	PeakNumber	RPscore	adjRPscore	logFoldChange	DE significance	Rank_by_rank_product
Tubb4a	chr17:57080060-57087600	2	0.004	0.001	0.000	1.000E+00	8214
Pf4	chr5:90772434-90773383	0	0.0	0.0	0.000	1.000E+00	9628
Prl3d3	chr13:27156793-27162592	0	0.0	0.0	0.000	1.000E+00	9628
Prl3d2	chr13:27121694-27127554	0	0.0	0.0	0.000	1.000E+00	9628
Prl3d1	chr13:27094188-27100260	0	0.0	0.0	0.000	1.000E+00	9628
Gm12338	chr11:75599645-75600231	0	0.0	0.0	0.000	1.000E+00	9628
Gm12339	chr11:75795808-75853912	0	0.0	0.0	0.000	1.000E+00	9628
Islr2	chr9:58196296-58201799	0	0.0	0.0	0.000	1.000E+00	9628
Plxnb2	chr15:89155545-89180788	0	0.0	0.0	0.000	1.000E+00	9628
Plxnb3	chrX:73757102-73772510	0	0.0	0.0	0.000	1.000E+00	9628
Cdcp2	chr4:107096890-107107748	0	0.0	0.0	0.000	1.000E+00	9628
Nars2	chr7:96951526-97064757	0	0.0	-0.343	2.639	5.190E-04	10289
Ripk3	chr14:55784994-55788857	0	0.0	0.0	0.000	1.000E+00	9628
Fam45a	chr19:60811554-60836235	0	0.0	-0.312	1.896	3.182E-04	10020
Kazn	chr4:142102389-142210208	0	0.0	0.0	0.000	1.000E+00	9628
4930470O06Rik	chr8:59825648-59844721	0	0.0	0.0	0.000	1.000E+00	9628
Mir129-1	chr6:29022618-29022691	0	0.0	0.0	0.000	1.000E+00	9628
Mir129-2	chr2:94241363-94241453	0	0.0	0.0	0.000	1.000E+00	9628
Psmg4	chr13:34162963-34178172	0	0.0	-0.221	0.000	1.000E+00	10962
C1qbp	chr11:70977845-70983026	0	0.0	-0.0	-1.550	2.948E-06	6270
Psmg2	chr18:67641598-67654162	0	0.0	0.0	0.000	1.000E+00	9628
Psmg3	chr5:139823612-139826894	1	0.851	0.241	0.000	1.000E+00	4775
Trpv5	chr6:41652769-41680723	0	0.0	0.0	0.000	1.000E+00	9628
Trpv4	chr5:114622153-114658421	0	0.0	-0.001	0.000	1.000E+00	10315
Trpv6	chr6:41620618-41636405	0	0.0	0.0	0.000	1.000E+00	9628
Trpv1	chr11:73234148-73261322	0	0.0	0.0	0.000	1.000E+00	9628
Trpv3	chr11:73267619-73297200	0	0.0	0.0	0.000	1.000E+00	9628
Trpv2	chr11:62574485-62600305	0	0.0	0.0	3.440	1.429E-18	3077
Gm5441	chr12:117234520-117337012	0	0.0	0.0	0.000	1.000E+00	9628
BC049352	chr9:45195765-45249985	0	0.0	0.0	0.000	1.000E+00	9628
2810002D19Rik	chr2:94406706-94411680	1	0.979	0.314	0.000	1.000E+00	2782
BC061212	chr5:95732091-95736173	0	0.0	0.0	0.000	1.000E+00	9628
Fnta	chr8:25998721-26015601	0	0.0	-0.001	-1.543	4.035E-10	5273
Fntb	chr12:76837466-76921412	0	0.0	-0.0	0.000	1.000E+00	9667
Zfp474	chr18:52615914-52639830	0	0.0	0.0	0.000	1.000E+00	9628
Zfp473	chr7:44731481-44748617	2	1.437	0.461	-1.352	3.292E-02	1664
Zfp472	chr17:32965830-32979211	2	1.526	0.49	4.156	5.569E-06	946
Acrv1	chr9:36693219-36698843	0	0.0	0.0	0.000	1.000E+00	9628
Apbb1	chr7:105558482-105568777	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam19	chr7:19875741-19887965	1	0.0	0.0	0.000	1.000E+00	8900
Ceacam18	chr7:43634738-43649294	0	0.0	0.0	0.000	1.000E+00	9628
Gm4719	chr17:89379240-89384993	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam15	chr7:16671330-16675705	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam14	chr7:17812681-17815627	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam16	chr7:19852096-19861299	1	0.001	0.0	0.000	1.000E+00	8640
Ceacam11	chr7:17972166-17978556	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam10	chr7:24777203-24784655	0	0.0	0.0	0.000	1.000E+00	9628
Gm4710	chr17:75861022-75889039	0	0.0	0.0	0.000	1.000E+00	9628
Ceacam12	chr7:18065929-18070414	0	0.0	0.0	0.000	1.000E+00	9628
Gm6408	chr5:146481942-146484702	0	0.0	0.0	0.000	1.000E+00	9628
Gm6402	chr17:30394824-30396180	0	0.0	0.0	0.000	1.000E+00	9628
1700012D14Rik	chr7:111117672-111122675	1	0.862	-0.08	-2.215	1.354E-03	9896
Gm21992	chr19:4742912-4811599	1	0.631	-0.046	0.000	1.000E+00	10749
Mrgprb3	chr7:48642862-48643801	0	0.0	0.0	0.000	1.000E+00	9628
Mrgprb2	chr7:48550965-48558086	0	0.0	0.0	0.000	1.000E+00	9628
Mrgprb1	chr7:48444112-48456342	0	0.0	0.0	0.000	1.000E+00	9628
Mrgprb5	chr7:48168016-48168985	0	0.0	0.0	0.000	1.000E+00	9628
Mrgprb4	chr7:48198212-48199178	0	0.0	0.0	0.000	1.000E+00	9628
Vmn1r107	chr7:22658017-22658941	0	0.0	0.0	0.000	1.000E+00	9628
Mrgprb8	chr7:48388525-48389648	0	0.0	0.0	0.000	1.000E+00	9628
Vmn1r103	chr7:20509616-20510534	0	0.0	0.0	0.000	1.000E+00	9628
Vmn1r101	chr7:22437305-22438229	0	0.0	0.0	0.000	1.000E+00	9628
Vmn1r100	chr7:22413582-22414506	0	0.0	0.0	0.000	1.000E+00	9628
Crhr2	chr6:55090048-55117913	0	0.0	0.0	0.000	1.000E+00	9628
Crhr1	chr11:104132780-104175523	0	0.0	0.0	0.000	1.000E+00	9628
Ifit3	chr19:34583528-34588982	0	0.0	0.0	1.979	1.030E-02	8605
Rffl	chr11:82803818-82829043	0	0.0	0.0	-2.847	2.334E-18	3123
Gsc	chr12:104471208-104473236	0	0.0	0.0	0.000	1.000E+00	9628
Adam28	chr14:68604997-68655842	0	0.0	0.0	0.000	1.000E+00	9628
Rhou	chr8:123653928-123663880	0	0.0	0.0	0.000	1.000E+00	9628
Lipt2	chr7:100159276-100160931	0	0.0	-0.28	0.000	1.000E+00	11003
Tti2	chr8:31150315-31164703	1	0.761	-0.034	0.000	1.000E+00	10723
Tti1	chr2:157981802-158028434	0	0.0	0.0	-0.905	3.871E-03	8074
Lipt1	chr1:37872205-37876298	0	0.0	-0.003	0.000	1.000E+00	10492
Ss18	chr18:14625628-14682914	2	0.0	-0.003	-1.007	1.019E-48	1694
Smarce1	chr11:99209047-99231017	1	0.514	0.165	-1.291	4.123E-17	2151
Ghsr	chr3:27371350-27378010	0	0.0	0.0	0.000	1.000E+00	9628
Tagln	chr9:45929627-45936058	0	0.0	0.0	-4.014	6.420E-06	5991
4930529C04Rik	chr3:91071661-91075192	0	0.0	0.0	0.000	1.000E+00	9628
Gm33354	chr1:166448251-166455488	0	0.0	0.0	0.000	1.000E+00	9628
Fam186b	chr15:99271017-99287180	0	0.0	0.0	0.000	1.000E+00	9628
Fam186a	chr15:99918347-99931658	0	0.0	0.0	0.000	1.000E+00	9628
Fam25c	chr14:34351881-34355393	0	0.0	0.0	0.000	1.000E+00	9628
8430431K14Rik	chr19:31213542-31216396	0	0.0	0.0	0.000	1.000E+00	9628
4930543E12Rik	chr7:113100235-113142015	0	0.0	0.0	0.000	1.000E+00	9628
Mmp8	chr9:7558428-7568486	0	0.0	0.0	0.000	1.000E+00	9628
Mmp9	chr2:164948218-164955850	0	0.0	0.0	0.000	1.000E+00	9628
Mmp7	chr9:7692340-7699585	0	0.0	0.0	0.000	1.000E+00	9628
Mmp2	chr8:92827296-92853421	0	0.0	0.0	0.000	1.000E+00	9628
Mmp3	chr9:7445821-7455974	0	0.0	0.0	0.000	1.000E+00	9628
Gm19710	chr3:89998759-90001325	2	1.232	0.395	0.000	1.000E+00	2260
Jmjd6	chr11:116837431-116843449	2	0.701	0.224	-0.774	4.706E-05	3736
Jmjd7	chr2:120027482-120032604	1	0.821	0.263	0.000	1.000E+00	4079
Jmjd4	chr11:59450044-59458567	0	0.0	0.0	2.429	9.034E-04	7433
Jmjd8	chr17:25829042-25831843	3	0.159	0.051	0.000	1.000E+00	6953
Susd6	chr12:80790531-80880833	1	0.223	-0.238	3.052	8.540E-66	1437
Susd4	chr1:182764895-182896589	0	0.0	0.0	0.000	1.000E+00	9628
Susd5	chr9:114057353-114098733	0	0.0	0.0	0.000	1.000E+00	9628
Susd2	chr10:75636618-75644008	0	0.0	0.0	0.000	1.000E+00	9628
Susd3	chr13:49230688-49248294	0	0.0	0.0	0.000	1.000E+00	9628
Gm11529	chr11:96446898-96464547	0	0.0	0.0	0.000	1.000E+00	9628
Gm11520	chr11:95310415-95324593	1	0.436	-0.121	0.000	1.000E+00	10885
Capza3	chr6:140041524-140042786	0	0.0	0.0	0.000	1.000E+00	9628
Capza2	chr6:17637009-17666972	0	0.0	0.0	1.230	8.796E-14	3821
Capza1	chr3:104822780-104864505	1	0.914	0.293	-0.511	8.941E-06	2077
1700030L20Rik	chr3:136435269-136449349	0	0.0	0.0	0.000	1.000E+00	9628
Paox	chr7:140125656-140134334	2	0.004	0.0	0.000	1.000E+00	8507
Radil	chr5:142484838-142551098	0	0.0	0.0	0.000	1.000E+00	9628
Dirc2	chr16:35694061-35769370	0	0.0	0.0	-4.242	8.798E-100	612
4930556C24Rik	chr16:85819210-85826772	0	0.0	0.0	0.000	1.000E+00	9628
Olfr466	chr13:65152225-65153152	0	0.0	0.0	0.000	1.000E+00	9628
Mrpl54	chr10:81264721-81266926	0	0.0	0.0	-1.397	2.049E-03	7793
Mrpl55	chr11:59202485-59206138	1	0.015	-0.001	3.588	2.514E-02	10214
Mrpl57	chr14:57826238-57828745	1	0.922	-0.02	4.829	2.486E-04	8939
Mrpl50	chr4:49512596-49521083	0	0.0	0.0	-1.208	7.592E-04	7352
Mrpl51	chr6:125192199-125194392	2	1.288	0.413	1.865	2.746E-02	2066
Mrpl52	chr14:54426908-54429750	0	0.0	-0.0	0.000	1.000E+00	9836
Mrpl53	chr6:83109107-83109932	3	0.758	0.236	0.000	1.000E+00	4919
Sod2	chr17:13007838-13018119	1	0.479	-0.172	2.514	2.478E-10	5834
Mrpl58	chr11:115403751-115410919	0	0.0	-0.001	0.000	1.000E+00	10386
Sod3	chr5:52363803-52369738	0	0.0	0.0	0.000	1.000E+00	9628
4930407I10Rik	chr15:82059150-82066538	0	0.0	-0.0	0.000	1.000E+00	10038
AW209491	chr13:14630244-14638202	0	0.0	0.0	0.000	1.000E+00	9628
Sod1	chr16:90220761-90226333	0	0.0	-0.049	2.205	4.662E-20	3722
Mir1a-2	chr18:10785480-10785552	0	0.0	0.0	0.000	1.000E+00	9628
Mir1a-1	chr2:180389047-180389124	0	0.0	0.0	0.000	1.000E+00	9628
Nfyc	chr4:120757434-120815713	1	0.924	-0.058	-1.303	4.522E-12	5171
Nfyb	chr10:82748699-82764141	1	0.83	0.266	-1.704	5.537E-14	1588
Nfya	chr17:48386884-48409820	1	0.578	0.185	-1.235	6.488E-22	1758
5730435O14Rik	chr10:41568015-41576476	0	0.0	0.0	0.000	1.000E+00	9628
Ctnna3	chr10:63430097-65003667	0	0.0	0.0	0.000	1.000E+00	9628
Cyp1a1	chr9:57697612-57703824	0	0.0	0.0	0.000	1.000E+00	9628
Cyp1a2	chr9:57676936-57683655	0	0.0	0.0	0.000	1.000E+00	9628
Gpr119	chrX:48667978-48674478	0	0.0	0.0	0.000	1.000E+00	9628
Il1f10	chr2:24291195-24293820	0	0.0	0.0	0.000	1.000E+00	9628
Skil	chr3:31095057-31122923	1	0.325	0.104	2.601	2.757E-214	122
Gabpb2	chr3:95181765-95217942	2	0.794	-0.105	-0.449	2.022E-05	8327
Gabpb1	chr2:126628906-126675352	0	0.0	0.0	-0.861	8.851E-23	2676
Gcg	chr2:62474529-62483653	0	0.0	0.0	0.000	1.000E+00	9628
Gck	chr11:5900822-5950081	1	0.017	-0.0	0.000	1.000E+00	9993
Thrb	chr14:17981643-18038088	1	0.71	0.228	0.000	1.000E+00	5123
Thra	chr11:98741784-98765113	1	0.0	0.0	0.000	1.000E+00	9596
E230013L22Rik	chr8:11477928-11480241	0	0.0	0.0	0.000	1.000E+00	9628
Vasn	chr16:4639944-4651166	0	0.0	0.0	0.000	1.000E+00	9628
Eri2	chr7:119783825-119794058	0	0.0	0.0	-1.767	5.619E-04	7263
Eri3	chr4:117550364-117674297	0	0.0	0.0	1.842	2.014E-03	7788
Eri1	chr8:35465264-35495533	0	0.0	0.0	-1.875	3.260E-45	1517
Gm5126	chrX:102932046-102934223	0	0.0	0.0	0.000	1.000E+00	9628
Gm5127	chrX:106583185-106710557	0	0.0	0.0	0.000	1.000E+00	9628
Gm5124	chrX:21360864-21364624	0	0.0	0.0	0.000	1.000E+00	9628
Gm5122	chr9:61017068-61019797	0	0.0	0.0	0.000	1.000E+00	9628
Vasp	chr7:19256929-19271854	2	0.08	0.026	1.068	8.005E-20	2354
Gm5128	chrX:135373283-135383393	0	0.0	0.0	0.000	1.000E+00	9628
Gm5129	chr5:29735333-29735936	0	0.0	-0.017	0.000	1.000E+00	10667
Chd1l	chr3:97560747-97610190	0	0.0	-0.293	0.000	1.000E+00	11024
Gm45618	chr7:142119614-142120900	0	0.0	0.0	0.000	1.000E+00	9628
Slc35c2	chr2:165276521-165287787	1	0.714	0.229	0.819	4.105E-02	5038
4921509C19Rik	chr2:151470541-151476151	0	0.0	0.0	0.000	1.000E+00	9628
Slc35c1	chr2:92452764-92459794	1	0.631	0.202	-0.738	1.705E-03	4730
Ss18l2	chr9:121710388-121712921	1	0.001	-0.001	3.377	1.873E-02	10105
Ss18l1	chr2:180042482-180070201	0	0.0	0.0	2.612	8.018E-04	7369
Mafg	chr11:120628350-120633547	4	0.962	0.309	0.000	1.000E+00	2859
Cyp4a12b	chr4:115411623-115439034	0	0.0	0.0	0.000	1.000E+00	9628
Tesk2	chr4:116720954-116804248	1	0.0	-0.0	0.000	1.000E+00	9866
Edaradd	chr13:12471208-12520450	0	0.0	0.0	0.000	1.000E+00	9628
Actn2	chr13:12269426-12340732	0	0.0	0.0	0.000	1.000E+00	9628
Rb1	chr14:73195501-73325822	0	0.0	0.0	-1.467	9.456E-32	2070
Purb	chr11:6467598-6476076	0	0.0	0.0	-1.370	9.916E-90	710
Pura	chr18:36281104-36292535	0	0.0	-0.007	4.233	1.452E-09	5668
Purg	chr8:33386324-33387529	1	0.479	0.154	0.000	1.000E+00	6185
Olfr237-ps1	chr6:43153306-43154239	0	0.0	0.0	0.000	1.000E+00	9628
Mir6359	chr18:88972029-88972110	0	0.0	0.0	0.000	1.000E+00	9628
Mir6358	chr18:76170551-76170652	0	0.0	0.0	0.000	1.000E+00	9628
Cyp2a5	chr7:26835338-26843264	0	0.0	0.0	0.000	1.000E+00	9628
Cyp2a4	chr7:26307191-26315088	0	0.0	0.0	0.000	1.000E+00	9628
Mir6355	chr18:59579629-59579735	0	0.0	0.0	0.000	1.000E+00	9628
Mir6354	chr1:169018973-169019089	0	0.0	0.0	0.000	1.000E+00	9628
Mir6357	chr18:70516785-70516889	2	0.0	0.0	0.000	1.000E+00	8933
Mir6356	chr18:68739399-68739501	0	0.0	0.0	0.000	1.000E+00	9628
Mir6351	chr1:73855476-73855575	0	0.0	0.0	0.000	1.000E+00	9628
Mir6350	chr1:47467020-47467125	0	0.0	0.0	0.000	1.000E+00	9628
Mir6353	chr1:84218848-84218961	0	0.0	0.0	0.000	1.000E+00	9628
Ufsp2	chr8:45975527-45996956	0	0.0	-0.295	4.845	4.128E-04	10025
a	chr2:155013569-155051012	0	0.0	0.0	0.000	1.000E+00	9628
Rftn2	chr1:55170159-55226782	0	0.0	-0.0	0.000	1.000E+00	10181
Rftn1	chr17:49993306-50190497	1	0.033	0.01	0.000	1.000E+00	7538
1810046K07Rik	chr9:51289685-51328917	0	0.0	0.0	0.000	1.000E+00	9628
F13b	chr1:139501706-139523756	0	0.0	0.0	0.000	1.000E+00	9628
Uqcrc2	chr7:120635188-120659523	0	0.0	0.0	0.678	2.401E-03	7879
B230208H11Rik	chr10:12916645-12923127	0	0.0	0.0	0.000	1.000E+00	9628
Tmed10	chr12:85340613-85374717	0	0.0	0.0	-1.151	4.413E-15	3608
Mir499	chr2:155622879-155622958	0	0.0	0.0	0.000	1.000E+00	9628
Naa60	chr16:3884618-3904781	2	0.789	-0.079	4.098	6.198E-12	5262
Lsm11	chr11:45928268-45944935	0	0.0	-0.0	-1.416	4.928E-04	8308
Gm48908	chr2:50355024-50410056	0	0.0	0.0	0.000	1.000E+00	9628
Acsm1	chr7:119617827-119662515	0	0.0	0.0	0.000	1.000E+00	9628
Acsm3	chr7:119760922-119784891	0	0.0	0.0	0.000	1.000E+00	9628
Acsm2	chr7:119554339-119600694	0	0.0	0.0	0.000	1.000E+00	9628
Acsm5	chr7:119526264-119543360	0	0.0	0.0	0.000	1.000E+00	9628
Acsm4	chr7:119690025-119714566	0	0.0	0.0	0.000	1.000E+00	9628
Rap1gap2	chr11:74383356-74590186	0	0.0	0.0	5.787	4.438E-06	5934
Ostm1	chr10:42678915-42702462	0	0.0	0.0	3.277	7.890E-18	3185
Ctla2b	chr13:60895350-60897447	1	0.701	0.225	0.000	1.000E+00	5203
Kif1a	chr1:93015454-93101874	0	0.0	0.0	0.000	1.000E+00	9628
Kif1b	chr4:149176318-149307733	0	0.0	0.0	-4.650	0.000E+00	29
Kif1c	chr11:70700547-70731970	0	0.0	0.0	3.787	2.606E-11	4287
Mir199b	chr2:32318459-32318569	0	0.0	0.0	0.000	1.000E+00	9628
Rerg	chr6:137054824-137169718	0	0.0	0.0	0.000	1.000E+00	9628
Mitd1	chr1:37874800-37890411	0	0.0	-0.385	-2.367	1.047E-10	6365
E330012B07Rik	chr6:147180240-147208294	0	0.0	0.0	0.000	1.000E+00	9628
Cage1	chr13:38006051-38036937	1	0.433	-0.179	-2.514	6.071E-06	8113
Unc119b	chr5:115122565-115134975	1	0.258	0.083	0.559	4.749E-04	5389
Zpr1	chr9:46273063-46282642	2	0.679	0.217	1.490	1.136E-05	3645
Rgs4	chr1:169741476-169747642	0	0.0	0.0	0.000	1.000E+00	9628
Rgs5	chr1:169655500-169695813	0	0.0	0.0	0.000	1.000E+00	9628
Rgs6	chr12:82616924-83162056	0	0.0	0.0	0.000	1.000E+00	9628
Rgs7	chr1:175059075-175492545	0	0.0	0.0	0.000	1.000E+00	9628
Rgs1	chr1:144244668-144249104	3	0.57	0.183	0.975	8.905E-44	1008
Rgs2	chr1:143999337-144004149	1	0.203	0.065	-0.365	2.322E-05	4830
Rgs3	chr4:62673973-62703019	7	0.061	0.02	7.507	1.426E-12	3201
Rgs8	chr1:153665672-153697665	0	0.0	0.0	3.897	2.391E-02	9140
Rgs9	chr11:109229855-109298181	0	0.0	0.0	1.364	1.393E-02	8794
Aass	chr6:23072172-23132986	0	0.0	0.0	0.000	1.000E+00	9628
Pde6b	chr5:108388372-108431742	0	0.0	0.0	0.000	1.000E+00	9628
Pde6c	chr19:38132780-38183951	0	0.0	0.0	0.000	1.000E+00	9628
Pde6a	chr18:61220473-61289718	0	0.0	0.0	0.000	1.000E+00	9628
Gm16291	chr15:39797044-39812377	0	0.0	0.0	0.000	1.000E+00	9628
Pde6g	chr11:120447606-120453500	2	0.0	0.0	0.000	1.000E+00	9395
Pde6d	chr1:86543011-86582785	1	0.74	0.219	0.000	1.000E+00	5320
Pde6h	chr6:136954522-136963483	3	0.001	0.0	0.000	1.000E+00	8568
Mir1a-1hg	chr2:180385603-180401802	0	0.0	0.0	0.000	1.000E+00	9628
Fa2h	chr8:111345137-111393821	0	0.0	0.0	0.000	1.000E+00	9628
Hpf1	chr8:60890392-60907581	0	0.0	0.0	1.448	5.224E-03	8243
Ajm1	chr2:25575415-25580099	0	0.0	0.0	0.000	1.000E+00	9628
Lgals9	chr11:78962978-78984924	0	0.0	0.0	0.000	1.000E+00	9628
Lgals8	chr13:12439401-12459316	0	0.0	0.0	-0.902	3.514E-05	6402
Fosl1	chr19:5447697-5455938	0	0.0	-0.0	0.000	1.000E+00	9744
Nfkb1	chr3:135584654-135691547	0	0.0	0.0	0.440	8.666E-16	3474
Lgals3	chr14:47373859-47386167	4	1.227	0.394	5.380	7.030E-21	682
Lgals2	chr15:78850859-78855529	0	0.0	0.0	0.000	1.000E+00	9628
Lgals1	chr15:78926724-78930465	5	1.761	0.565	6.134	5.199E-16	260
Lgals7	chr7:28864385-28866284	1	0.096	0.031	3.773	1.477E-02	6645
Lgals6	chr7:28834169-28841700	1	0.0	0.0	0.000	1.000E+00	9285
Lgals4	chr7:28833793-28841703	1	0.0	0.0	0.000	1.000E+00	9220
Rbm12	chr2:156094881-156111965	1	0.562	-0.101	-1.914	2.381E-39	2258
Rbm11	chr16:75592890-75602825	0	0.0	0.0	0.000	1.000E+00	9628
Rbm10	chrX:20617502-20650889	0	0.0	0.0	1.860	1.473E-10	4449
Rbm17	chr2:11585438-11603199	2	0.746	-0.133	-0.983	3.908E-04	9745
Rbm15	chr3:107326109-107333289	2	1.286	0.413	-1.164	3.730E-25	560
Rbm14	chr19:4800565-4811634	1	0.616	-0.045	-1.301	1.100E-16	4164
C230037L18Rik	chr15:89476251-89484850	0	0.0	0.0	0.000	1.000E+00	9628
Rbm18	chr2:36116078-36136704	0	0.0	0.0	-2.009	5.162E-42	1676
Lgalsl	chr11:20823354-20831108	1	0.788	0.253	3.403	4.088E-04	3483
Tcp11l1	chr2:104679979-104712162	0	0.0	0.0	0.000	1.000E+00	9628
Tcp11l2	chr10:84576946-84614355	0	0.0	0.0	-1.453	2.500E-30	2173
Gfpt1	chr6:87042845-87092207	1	0.05	-0.006	2.652	8.256E-16	4161
Gfpt2	chr11:49794154-49838620	0	0.0	0.0	0.000	1.000E+00	9628
Ch25h	chr19:34473783-34475135	0	0.0	0.0	0.000	1.000E+00	9628
A930041C12Rik	chr5:107630249-107633850	1	0.0	0.0	0.000	1.000E+00	9515
Zbtb8b	chr4:129425764-129440818	0	0.0	0.0	0.000	1.000E+00	9628
Sinhcaf	chr6:148921058-148944826	2	1.694	0.544	-1.327	6.515E-04	638
Prtn3	chr10:79879666-79883172	0	0.0	0.0	0.000	1.000E+00	9628
Olfr441	chr6:43115743-43116676	0	0.0	0.0	0.000	1.000E+00	9628
Olfr444	chr6:42955499-42956432	0	0.0	0.0	0.000	1.000E+00	9628
Olfr446	chr6:42927232-42928159	0	0.0	0.0	0.000	1.000E+00	9628
Olfr447	chr6:42911524-42912457	0	0.0	0.0	0.000	1.000E+00	9628
Olfr448	chr6:42896452-42897385	0	0.0	0.0	0.000	1.000E+00	9628
Olfr449	chr6:42834415-42838882	0	0.0	0.0	0.000	1.000E+00	9628
Taar7a	chr10:23992404-23993481	0	0.0	0.0	0.000	1.000E+00	9628
A130077B15Rik	chr10:122565022-122569891	0	0.0	0.0	0.000	1.000E+00	9628
Gpr137	chr19:6938056-6942450	1	0.001	-0.0	0.000	1.000E+00	10018
Gpr132	chr12:112850875-112860916	6	2.636	0.846	-1.062	7.285E-103	3
Gpr139	chr7:119144322-119184374	0	0.0	0.0	0.000	1.000E+00	9628
Id2	chr12:25093798-25096092	6	1.23	0.395	0.759	7.614E-08	1282
Esyt1	chr10:128510249-128525859	1	0.329	0.105	0.957	1.393E-25	1759
Esyt2	chr12:116281221-116373098	0	0.0	-0.374	1.976	2.389E-67	1543
Esyt3	chr9:99309966-99358530	0	0.0	0.0	0.000	1.000E+00	9628
E330014E10Rik	chr5:95775869-95804230	0	0.0	0.0	0.000	1.000E+00	9628
Atf4	chr15:80255183-80257545	0	0.0	-0.001	2.229	1.194E-51	1556
4930511A08Rik	chr6:94132922-94237442	0	0.0	0.0	0.000	1.000E+00	9628
1700048O20Rik	chr9:121937274-121947016	0	0.0	0.0	0.000	1.000E+00	9628
Mad2l1bp	chr17:46147384-46153551	1	0.767	0.242	0.000	1.000E+00	4724
Cmklr1	chr5:113612354-113643603	1	0.224	0.072	4.260	2.427E-03	5808
Ptprtos	chr2:162390812-162393946	0	0.0	0.0	0.000	1.000E+00	9628
Tagap	chr17:7925999-7934897	1	0.894	0.287	0.000	1.000E+00	3277
Cops4	chr5:100518308-100547802	1	0.626	-0.11	2.190	5.438E-13	5085
Hmg20a	chr9:56418618-56496936	2	1.478	0.474	3.376	3.098E-07	925
Rmnd5b	chr11:51623672-51635896	2	1.006	0.323	0.000	1.000E+00	2632
Thoc3	chr13:54458836-54468840	0	0.0	0.0	-1.187	2.284E-05	6291
Thoc2	chrX:41794993-41911901	0	0.0	0.0	-1.369	6.183E-43	1635
Thoc1	chr18:9958179-9995484	0	0.0	-0.386	1.313	3.009E-05	9829
Thoc7	chr14:13949011-13961852	0	0.0	0.0	-1.555	2.505E-12	4076
Thoc6	chr17:23668617-23673877	0	0.0	0.0	0.000	1.000E+00	9628
Thoc5	chr11:4895342-4928865	1	0.882	0.282	1.131	1.146E-02	3111
B3galt4	chr17:33949911-33951488	2	0.033	0.01	-2.233	5.508E-06	4990
B3galt5	chr16:96273512-96319859	2	1.542	0.495	8.157	3.551E-11	623
B3galt6	chr4:155989465-155992678	0	0.0	0.0	0.000	1.000E+00	9628
Acaca	chr11:84195437-84401651	0	0.0	0.0	1.341	1.963E-06	5778
B3galt1	chr2:68104671-68122882	0	0.0	0.0	0.000	1.000E+00	9628
B3galt2	chr1:143640696-143649937	0	0.0	0.0	0.000	1.000E+00	9628
Acacb	chr5:114165517-114250758	0	0.0	0.0	0.000	1.000E+00	9628
Wnk2	chr13:49037600-49148328	0	0.0	0.0	0.000	1.000E+00	9628
Wnk3	chrX:151198077-151320192	0	0.0	0.0	0.000	1.000E+00	9628
Wnk1	chr6:119923968-120038655	2	0.773	0.248	-1.373	4.220E-272	47
Wnk4	chr11:101260566-101277409	0	0.0	-0.003	0.000	1.000E+00	10508
2810049E08Rik	chr13:83891207-83928710	0	0.0	0.0	0.000	1.000E+00	9628
Pcbp4	chr9:106453837-106464011	0	0.0	0.0	6.091	2.439E-06	5806
Cga	chr4:34893778-34907374	0	0.0	-0.0	0.000	1.000E+00	10037
Wwc2	chr8:47827605-47990551	0	0.0	0.0	0.000	1.000E+00	9628
Rtp2	chr16:23925547-23930794	0	0.0	0.0	0.000	1.000E+00	9628
Wwc1	chr11:35838398-35980527	0	0.0	0.0	0.000	1.000E+00	9628
Pcbp3	chr10:76761853-76816741	1	0.0	0.0	0.000	1.000E+00	9490
Pcbp1	chr6:86524479-86526189	2	1.286	0.413	-0.986	3.174E-18	702
Gm11729	chr11:117414388-117415368	0	0.0	0.0	0.000	1.000E+00	9628
Spop	chr11:95414082-95493410	1	0.567	0.182	0.870	4.700E-04	4742
Plcxd3	chr15:4375490-4575579	0	0.0	0.0	0.000	1.000E+00	9628
Plcxd2	chr16:45959260-46010413	0	0.0	0.0	-2.303	3.192E-215	161
Plcxd1	chr5:110100558-110105952	0	0.0	-0.0	0.000	1.000E+00	9855
Gm15408	chr5:149006961-149012776	0	0.0	0.0	0.000	1.000E+00	9628
Gm15401	chr6:72629287-72637717	1	0.0	-0.0	0.000	1.000E+00	9863
